fecha_fallecimiento,departamento,n,corte
2020-03-18,LIMA,1,2020-08-01
2020-03-19,LIMA,4,2020-08-01
2020-03-20,LIMA,3,2020-08-01
2020-03-21,PIURA,1,2020-08-01
2020-03-22,CALLAO,1,2020-08-01
2020-03-22,LORETO,1,2020-08-01
2020-03-23,LIMA,2,2020-08-01
2020-03-24,CUSCO,1,2020-08-01
2020-03-24,LA LIBERTAD,1,2020-08-01
2020-03-24,LIMA,2,2020-08-01
2020-03-26,LA LIBERTAD,1,2020-08-01
2020-03-26,LAMBAYEQUE,2,2020-08-01
2020-03-26,LIMA,3,2020-08-01
2020-03-27,CUSCO,2,2020-08-01
2020-03-27,LIMA,8,2020-08-01
2020-03-28,ANCASH,1,2020-08-01
2020-03-28,LIMA,3,2020-08-01
2020-03-29,AREQUIPA,1,2020-08-01
2020-03-29,CALLAO,2,2020-08-01
2020-03-29,LAMBAYEQUE,1,2020-08-01
2020-03-29,LIMA,8,2020-08-01
2020-03-29,PIURA,1,2020-08-01
2020-03-30,ICA,1,2020-08-01
2020-03-30,JUNIN,1,2020-08-01
2020-03-30,LAMBAYEQUE,2,2020-08-01
2020-03-30,LIMA,6,2020-08-01
2020-03-30,LORETO,4,2020-08-01
2020-03-30,TUMBES,1,2020-08-01
2020-03-31,AREQUIPA,1,2020-08-01
2020-03-31,CALLAO,3,2020-08-01
2020-03-31,LA LIBERTAD,1,2020-08-01
2020-03-31,LAMBAYEQUE,1,2020-08-01
2020-03-31,LIMA,14,2020-08-01
2020-03-31,LORETO,1,2020-08-01
2020-03-31,SAN MARTIN,1,2020-08-01
2020-04-01,CALLAO,4,2020-08-01
2020-04-01,ICA,1,2020-08-01
2020-04-01,LAMBAYEQUE,1,2020-08-01
2020-04-01,LIMA,8,2020-08-01
2020-04-01,TUMBES,1,2020-08-01
2020-04-02,CALLAO,3,2020-08-01
2020-04-02,CUSCO,2,2020-08-01
2020-04-02,ICA,1,2020-08-01
2020-04-02,LA LIBERTAD,1,2020-08-01
2020-04-02,LIMA,11,2020-08-01
2020-04-02,PIURA,1,2020-08-01
2020-04-02,TUMBES,1,2020-08-01
2020-04-03,CALLAO,1,2020-08-01
2020-04-03,ICA,1,2020-08-01
2020-04-03,LAMBAYEQUE,4,2020-08-01
2020-04-03,LIMA,24,2020-08-01
2020-04-03,PIURA,1,2020-08-01
2020-04-03,TUMBES,1,2020-08-01
2020-04-04,AREQUIPA,5,2020-08-01
2020-04-04,CALLAO,2,2020-08-01
2020-04-04,HUANCAVELICA,1,2020-08-01
2020-04-04,ICA,1,2020-08-01
2020-04-04,JUNIN,1,2020-08-01
2020-04-04,LA LIBERTAD,1,2020-08-01
2020-04-04,LAMBAYEQUE,5,2020-08-01
2020-04-04,LIMA,27,2020-08-01
2020-04-04,PIURA,4,2020-08-01
2020-04-04,UCAYALI,1,2020-08-01
2020-04-05,ANCASH,1,2020-08-01
