fecha_fallecimiento,departamento,provincia,n,corte
2020-03-18,LIMA,LIMA,1,2020-08-01
2020-03-19,LIMA,LIMA,4,2020-08-01
2020-03-20,LIMA,LIMA,3,2020-08-01
2020-03-21,PIURA,SULLANA,1,2020-08-01
2020-03-22,CALLAO,CALLAO,1,2020-08-01
2020-03-22,LORETO,MAYNAS,1,2020-08-01
2020-03-23,LIMA,LIMA,2,2020-08-01
2020-03-24,CUSCO,CUSCO,1,2020-08-01
2020-03-24,LA LIBERTAD,TRUJILLO,1,2020-08-01
2020-03-24,LIMA,LIMA,2,2020-08-01
2020-03-26,LA LIBERTAD,TRUJILLO,1,2020-08-01
2020-03-26,LAMBAYEQUE,FERREÑAFE,2,2020-08-01
2020-03-26,LIMA,LIMA,3,2020-08-01
2020-03-27,CUSCO,CUSCO,2,2020-08-01
2020-03-27,LIMA,LIMA,8,2020-08-01
2020-03-28,ANCASH,SANTA,1,2020-08-01
2020-03-28,LIMA,LIMA,3,2020-08-01
2020-03-29,AREQUIPA,CAYLLOMA,1,2020-08-01
2020-03-29,CALLAO,LIMA,2,2020-08-01
2020-03-29,LAMBAYEQUE,CHICLAYO,1,2020-08-01
2020-03-29,LIMA,LIMA,8,2020-08-01
2020-03-29,PIURA,PIURA,1,2020-08-01
2020-03-30,ICA,ICA,1,2020-08-01
2020-03-30,JUNIN,HUANCAYO,1,2020-08-01
2020-03-30,LAMBAYEQUE,CHICLAYO,2,2020-08-01
2020-03-30,LIMA,LIMA,6,2020-08-01
2020-03-30,LORETO,MAYNAS,4,2020-08-01
2020-03-30,TUMBES,ZARUMILLA,1,2020-08-01
2020-03-31,AREQUIPA,AREQUIPA,1,2020-08-01
2020-03-31,CALLAO,CALLAO,3,2020-08-01
2020-03-31,LA LIBERTAD,TRUJILLO,1,2020-08-01
2020-03-31,LAMBAYEQUE,CHICLAYO,1,2020-08-01
2020-03-31,LIMA,HUAURA,1,2020-08-01
2020-03-31,LIMA,LIMA,13,2020-08-01
2020-03-31,LORETO,MARISCAL RAMON CASTILLA,1,2020-08-01
2020-03-31,SAN MARTIN,MOYOBAMBA,1,2020-08-01
2020-04-01,CALLAO,CALLAO,4,2020-08-01
2020-04-01,ICA,CHINCHA,1,2020-08-01
2020-04-01,LAMBAYEQUE,LAMBAYEQUE,1,2020-08-01
2020-04-01,LIMA,LIMA,8,2020-08-01
2020-04-01,TUMBES,ZARUMILLA,1,2020-08-01
2020-04-02,CALLAO,CALLAO,3,2020-08-01
2020-04-02,CUSCO,CUSCO,2,2020-08-01
2020-04-02,ICA,ICA,1,2020-08-01
2020-04-02,LA LIBERTAD,TRUJILLO,1,2020-08-01
2020-04-02,LIMA,LIMA,10,2020-08-01
2020-04-02,LIMA,NA,1,2020-08-01
2020-04-02,PIURA,PIURA,1,2020-08-01
2020-04-02,TUMBES,TUMBES,1,2020-08-01
2020-04-03,CALLAO,CALLAO,1,2020-08-01
2020-04-03,ICA,ICA,1,2020-08-01
2020-04-03,LAMBAYEQUE,CHICLAYO,2,2020-08-01
2020-04-03,LAMBAYEQUE,FERREÑAFE,2,2020-08-01
2020-04-03,LIMA,HUARAL,1,2020-08-01
2020-04-03,LIMA,LIMA,23,2020-08-01
2020-04-03,PIURA,PIURA,1,2020-08-01
2020-04-03,TUMBES,TUMBES,1,2020-08-01
2020-04-04,AREQUIPA,AREQUIPA,5,2020-08-01
2020-04-04,CALLAO,CALLAO,2,2020-08-01
2020-04-04,HUANCAVELICA,HUAROCHIRI,1,2020-08-01
2020-04-04,ICA,ICA,1,2020-08-01
2020-04-04,JUNIN,HUANCAYO,1,2020-08-01
2020-04-04,LA LIBERTAD,ASCOPE,1,2020-08-01
2020-04-04,LAMBAYEQUE,CHICLAYO,3,2020-08-01
2020-04-04,LAMBAYEQUE,FERREÑAFE,2,2020-08-01
2020-04-04,LIMA,LIMA,27,2020-08-01
2020-04-04,PIURA,MORROPON,1,2020-08-01
2020-04-04,PIURA,PIURA,2,2020-08-01
2020-04-04,PIURA,SULLANA,1,2020-08-01
2020-04-04,UCAYALI,NA,1,2020-08-01
2020-04-05,ANCASH,SANTA,1,2020-08-01
2020-04-05,CALLAO,CALLAO,1,2020-08-01
2020-04-05,CALLAO,LIMA,1,2020-08-01
2020-04-05,HUANUCO,PUERTO INCA,1,2020-08-01
2020-04-05,LAMBAYEQUE,CHICLAYO,1,2020-08-01
2020-04-05,LAMBAYEQUE,FERREÑAFE,1,2020-08-01
2020-04-05,LAMBAYEQUE,LAMBAYEQUE,1,2020-08-01
2020-04-05,LIMA,HUAURA,1,2020-08-01
2020-04-05,LIMA,LIMA,5,2020-08-01
2020-04-05,LORETO,MAYNAS,2,2020-08-01
2020-04-05,SAN MARTIN,MOYOBAMBA,1,2020-08-01
2020-04-06,CALLAO,CALLAO,4,2020-08-01
2020-04-06,CALLAO,LIMA,1,2020-08-01
2020-04-06,LA LIBERTAD,TRUJILLO,1,2020-08-01
2020-04-06,LAMBAYEQUE,CHICLAYO,3,2020-08-01
2020-04-06,LAMBAYEQUE,FERREÑAFE,2,2020-08-01
2020-04-06,LIMA,LIMA,14,2020-08-01
2020-04-06,LIMA,NA,1,2020-08-01
2020-04-06,PIURA,PIURA,2,2020-08-01
2020-04-06,TUMBES,TUMBES,2,2020-08-01
2020-04-07,ANCASH,SANTA,3,2020-08-01
2020-04-07,CALLAO,CALLAO,1,2020-08-01
2020-04-07,CALLAO,LIMA,1,2020-08-01
2020-04-07,LAMBAYEQUE,CHICLAYO,1,2020-08-01
2020-04-07,LAMBAYEQUE,FERREÑAFE,1,2020-08-01
2020-04-07,LIMA,LIMA,17,2020-08-01
2020-04-07,LIMA,NA,1,2020-08-01
2020-04-07,LORETO,MAYNAS,2,2020-08-01
2020-04-07,PIURA,MORROPON,1,2020-08-01
2020-04-07,PIURA,PIURA,1,2020-08-01
