fecha_fallecimiento,n,corte
2020-03-18,1,2020-08-01
2020-03-19,4,2020-08-01
2020-03-20,3,2020-08-01
2020-03-21,1,2020-08-01
2020-03-22,2,2020-08-01
2020-03-23,2,2020-08-01
2020-03-24,4,2020-08-01
2020-03-26,6,2020-08-01
2020-03-27,10,2020-08-01
2020-03-28,4,2020-08-01
2020-03-29,13,2020-08-01
2020-03-30,15,2020-08-01
2020-03-31,22,2020-08-01
2020-04-01,15,2020-08-01
2020-04-02,20,2020-08-01
2020-04-03,32,2020-08-01
2020-04-04,48,2020-08-01
2020-04-05,16,2020-08-01
2020-04-06,30,2020-08-01
2020-04-07,29,2020-08-01
2020-04-08,54,2020-08-01
2020-04-09,49,2020-08-01
2020-04-10,54,2020-08-01
2020-04-11,45,2020-08-01
2020-04-12,61,2020-08-01
2020-04-13,58,2020-08-01
2020-04-14,82,2020-08-01
2020-04-15,89,2020-08-01
2020-04-16,93,2020-08-01
2020-04-17,94,2020-08-01
2020-04-18,90,2020-08-01
2020-04-19,102,2020-08-01
2020-04-20,106,2020-08-01
2020-04-21,119,2020-08-01
2020-04-22,137,2020-08-01
2020-04-23,134,2020-08-01
2020-04-24,146,2020-08-01
2020-04-25,146,2020-08-01
2020-04-26,165,2020-08-01
2020-04-27,171,2020-08-01
2020-04-28,171,2020-08-01
2020-04-29,159,2020-08-01
2020-04-30,182,2020-08-01
2020-05-01,220,2020-08-01
2020-05-02,194,2020-08-01
2020-05-03,208,2020-08-01
2020-05-04,194,2020-08-01
2020-05-05,239,2020-08-01
2020-05-06,236,2020-08-01
2020-05-07,203,2020-08-01
2020-05-08,224,2020-08-01
2020-05-09,237,2020-08-01
2020-05-10,226,2020-08-01
2020-05-11,256,2020-08-01
2020-05-12,190,2020-08-01
2020-05-13,189,2020-08-01
2020-05-14,226,2020-08-01
2020-05-15,179,2020-08-01
2020-05-16,108,2020-08-01
2020-05-17,79,2020-08-01
2020-05-18,122,2020-08-01
2020-05-19,85,2020-08-01
2020-05-20,103,2020-08-01
2020-05-21,97,2020-08-01
2020-05-22,95,2020-08-01
2020-05-23,84,2020-08-01
2020-05-24,96,2020-08-01
2020-05-25,78,2020-08-01
2020-05-26,76,2020-08-01
2020-05-27,200,2020-08-01
2020-05-28,189,2020-08-01
2020-05-29,214,2020-08-01
2020-05-30,217,2020-08-01
2020-05-31,194,2020-08-01
2020-06-01,197,2020-08-01
2020-06-02,186,2020-08-01
2020-06-03,202,2020-08-01
2020-06-04,194,2020-08-01
2020-06-05,179,2020-08-01
2020-06-06,203,2020-08-01
2020-06-07,135,2020-08-01
2020-06-08,203,2020-08-01
2020-06-09,209,2020-08-01
2020-06-10,242,2020-08-01
2020-06-11,229,2020-08-01
2020-06-12,224,2020-08-01
2020-06-13,233,2020-08-01
2020-06-14,199,2020-08-01
2020-06-15,219,2020-08-01
2020-06-16,240,2020-08-01
2020-06-17,231,2020-08-01
2020-06-18,191,2020-08-01
2020-06-19,198,2020-08-01
2020-06-20,200,2020-08-01
2020-06-21,194,2020-08-01
2020-06-22,180,2020-08-01
2020-06-23,196,2020-08-01
2020-06-24,185,2020-08-01
2020-06-25,176,2020-08-01
2020-06-26,219,2020-08-01
2020-06-27,195,2020-08-01
2020-06-28,207,2020-08-01
2020-06-29,160,2020-08-01
2020-06-30,170,2020-08-01
2020-07-01,179,2020-08-01
2020-07-02,165,2020-08-01
2020-07-03,176,2020-08-01
2020-07-04,151,2020-08-01
2020-07-05,169,2020-08-01
