fecha_resultado,n,corte
2020-03-06,1,2020-08-01
2020-03-07,5,2020-08-01
2020-03-08,2,2020-08-01
2020-03-09,3,2020-08-01
2020-03-10,1,2020-08-01
2020-03-11,8,2020-08-01
2020-03-12,8,2020-08-01
2020-03-13,10,2020-08-01
2020-03-14,19,2020-08-01
2020-03-15,28,2020-08-01
2020-03-16,20,2020-08-01
2020-03-17,27,2020-08-01
2020-03-18,56,2020-08-01
2020-03-19,62,2020-08-01
2020-03-20,56,2020-08-01
2020-03-21,30,2020-08-01
2020-03-22,39,2020-08-01
2020-03-23,33,2020-08-01
2020-03-24,64,2020-08-01
2020-03-25,100,2020-08-01
2020-03-26,52,2020-08-01
2020-03-27,34,2020-08-01
2020-03-28,136,2020-08-01
2020-03-29,142,2020-08-01
2020-03-30,130,2020-08-01
2020-03-31,250,2020-08-01
2020-04-01,117,2020-08-01
2020-04-02,222,2020-08-01
2020-04-03,292,2020-08-01
2020-04-04,833,2020-08-01
2020-04-05,444,2020-08-01
2020-04-06,647,2020-08-01
2020-04-07,1042,2020-08-01
2020-04-08,1083,2020-08-01
2020-04-09,817,2020-08-01
2020-04-10,1038,2020-08-01
2020-04-11,1404,2020-08-01
2020-04-12,738,2020-08-01
2020-04-13,1283,2020-08-01
2020-04-14,1041,2020-08-01
2020-04-15,1383,2020-08-01
2020-04-16,1329,2020-08-01
2020-04-17,1109,2020-08-01
2020-04-18,1407,2020-08-01
2020-04-19,1076,2020-08-01
2020-04-20,2038,2020-08-01
2020-04-21,2171,2020-08-01
2020-04-22,2103,2020-08-01
2020-04-23,2056,2020-08-01
2020-04-24,2239,2020-08-01
2020-04-25,2397,2020-08-01
2020-04-26,1422,2020-08-01
2020-04-27,3399,2020-08-01
2020-04-28,3367,2020-08-01
2020-04-29,4238,2020-08-01
2020-04-30,3372,2020-08-01
2020-05-01,2624,2020-08-01
2020-05-02,3369,2020-08-01
2020-05-03,1922,2020-08-01
2020-05-04,3990,2020-08-01
2020-05-05,3969,2020-08-01
2020-05-06,3634,2020-08-01
2020-05-07,3611,2020-08-01
2020-05-08,3295,2020-08-01
2020-05-09,2469,2020-08-01
2020-05-10,936,2020-08-01
2020-05-11,3601,2020-08-01
2020-05-12,4347,2020-08-01
2020-05-13,4441,2020-08-01
2020-05-14,3739,2020-08-01
2020-05-15,4304,2020-08-01
2020-05-16,4124,2020-08-01
2020-05-17,1785,2020-08-01
2020-05-18,5128,2020-08-01
2020-05-19,5198,2020-08-01
2020-05-20,5289,2020-08-01
2020-05-21,5514,2020-08-01
2020-05-22,6099,2020-08-01
2020-05-23,5399,2020-08-01
2020-05-24,1791,2020-08-01
2020-05-25,6968,2020-08-01
2020-05-26,6919,2020-08-01
2020-05-27,7363,2020-08-01
2020-05-28,6421,2020-08-01
2020-05-29,5743,2020-08-01
2020-05-30,4611,2020-08-01
2020-05-31,2259,2020-08-01
2020-06-01,4238,2020-08-01
2020-06-02,3770,2020-08-01
2020-06-03,2608,2020-08-01
2020-06-04,4012,2020-08-01
2020-06-05,4943,2020-08-01
2020-06-06,4743,2020-08-01
2020-06-07,2635,2020-08-01
2020-06-08,4740,2020-08-01
2020-06-09,5307,2020-08-01
2020-06-10,5723,2020-08-01
2020-06-11,5065,2020-08-01
2020-06-12,4657,2020-08-01
2020-06-13,4498,2020-08-01
2020-06-14,2438,2020-08-01
2020-06-15,4356,2020-08-01
2020-06-16,3370,2020-08-01
2020-06-17,3884,2020-08-01
2020-06-18,3404,2020-08-01
2020-06-19,3437,2020-08-01
2020-06-20,3506,2020-08-01
2020-06-21,1445,2020-08-01
2020-06-22,4326,2020-08-01
2020-06-23,3755,2020-08-01
2020-06-24,4101,2020-08-01
2020-06-25,4148,2020-08-01
2020-06-26,4327,2020-08-01
2020-06-27,3518,2020-08-01
2020-06-28,1594,2020-08-01
2020-06-29,2725,2020-08-01
2020-06-30,3741,2020-08-01
2020-07-01,3632,2020-08-01
2020-07-02,3339,2020-08-01
2020-07-03,3841,2020-08-01
2020-07-04,3509,2020-08-01
2020-07-05,2298,2020-08-01
2020-07-06,3742,2020-08-01
2020-07-07,3998,2020-08-01
2020-07-08,2538,2020-08-01
2020-07-09,2458,2020-08-01
2020-07-10,4885,2020-08-01
2020-07-11,4219,2020-08-01
2020-07-12,2378,2020-08-01
2020-07-13,3090,2020-08-01
2020-07-14,4119,2020-08-01
2020-07-15,4325,2020-08-01
2020-07-16,4500,2020-08-01
2020-07-17,5088,2020-08-01
2020-07-18,5040,2020-08-01
2020-07-19,2216,2020-08-01
2020-07-20,3722,2020-08-01
2020-07-21,4718,2020-08-01
2020-07-22,5835,2020-08-01
2020-07-23,5231,2020-08-01
2020-07-24,5544,2020-08-01
2020-07-25,5216,2020-08-01
2020-07-26,2813,2020-08-01
2020-07-27,6269,2020-08-01
2020-07-28,2443,2020-08-01
2020-07-29,3187,2020-08-01
2020-03-06,1,2020-08-14
2020-03-07,5,2020-08-14
2020-03-08,2,2020-08-14
2020-03-09,3,2020-08-14
2020-03-10,1,2020-08-14
2020-03-11,8,2020-08-14
2020-03-12,8,2020-08-14
2020-03-13,10,2020-08-14
2020-03-14,19,2020-08-14
2020-03-15,28,2020-08-14
2020-03-16,20,2020-08-14
2020-03-17,27,2020-08-14
2020-03-18,56,2020-08-14
2020-03-19,62,2020-08-14
2020-03-20,56,2020-08-14
2020-03-21,30,2020-08-14
2020-03-22,39,2020-08-14
2020-03-23,33,2020-08-14
2020-03-24,64,2020-08-14
2020-03-25,100,2020-08-14
2020-03-26,52,2020-08-14
2020-03-27,34,2020-08-14
2020-03-28,136,2020-08-14
2020-03-29,142,2020-08-14
2020-03-30,130,2020-08-14
2020-03-31,250,2020-08-14
2020-04-01,117,2020-08-14
2020-04-02,222,2020-08-14
2020-04-03,292,2020-08-14
2020-04-04,833,2020-08-14
2020-04-05,444,2020-08-14
2020-04-06,647,2020-08-14
2020-04-07,1042,2020-08-14
2020-04-08,1083,2020-08-14
2020-04-09,817,2020-08-14
2020-04-10,1038,2020-08-14
2020-04-11,1404,2020-08-14
2020-04-12,738,2020-08-14
2020-04-13,1284,2020-08-14
2020-04-14,1041,2020-08-14
2020-04-15,1383,2020-08-14
2020-04-16,1329,2020-08-14
2020-04-17,1109,2020-08-14
2020-04-18,1407,2020-08-14
2020-04-19,1076,2020-08-14
2020-04-20,2039,2020-08-14
2020-04-21,2171,2020-08-14
2020-04-22,2104,2020-08-14
2020-04-23,2056,2020-08-14
2020-04-24,2239,2020-08-14
2020-04-25,2397,2020-08-14
2020-04-26,1422,2020-08-14
2020-04-27,3399,2020-08-14
2020-04-28,3367,2020-08-14
2020-04-29,4238,2020-08-14
2020-04-30,3372,2020-08-14
2020-05-01,2625,2020-08-14
2020-05-02,3369,2020-08-14
2020-05-03,1922,2020-08-14
2020-05-04,3990,2020-08-14
2020-05-05,3969,2020-08-14
2020-05-06,3634,2020-08-14
2020-05-07,3612,2020-08-14
2020-05-08,3297,2020-08-14
2020-05-09,2469,2020-08-14
2020-05-10,936,2020-08-14
2020-05-11,3601,2020-08-14
2020-05-12,4348,2020-08-14
2020-05-13,4441,2020-08-14
2020-05-14,3739,2020-08-14
2020-05-15,4304,2020-08-14
2020-05-16,4125,2020-08-14
2020-05-17,1785,2020-08-14
2020-05-18,5130,2020-08-14
2020-05-19,5198,2020-08-14
2020-05-20,5290,2020-08-14
2020-05-21,5514,2020-08-14
2020-05-22,6100,2020-08-14
2020-05-23,5399,2020-08-14
2020-05-24,1792,2020-08-14
2020-05-25,6968,2020-08-14
2020-05-26,6919,2020-08-14
2020-05-27,7371,2020-08-14
2020-05-28,6425,2020-08-14
2020-05-29,5745,2020-08-14
2020-05-30,4613,2020-08-14
2020-05-31,2262,2020-08-14
2020-06-01,4242,2020-08-14
2020-06-02,3774,2020-08-14
2020-06-03,2614,2020-08-14
2020-06-04,4029,2020-08-14
2020-06-05,4944,2020-08-14
2020-06-06,4764,2020-08-14
2020-06-07,2637,2020-08-14
2020-06-08,4743,2020-08-14
2020-06-09,5310,2020-08-14
2020-06-10,5726,2020-08-14
2020-06-11,5069,2020-08-14
2020-06-12,4661,2020-08-14
2020-06-13,4500,2020-08-14
2020-06-14,2441,2020-08-14
2020-06-15,4363,2020-08-14
2020-06-16,3376,2020-08-14
2020-06-17,3915,2020-08-14
2020-06-18,3436,2020-08-14
2020-06-19,3447,2020-08-14
2020-06-20,3526,2020-08-14
2020-06-21,1446,2020-08-14
2020-06-22,4335,2020-08-14
2020-06-23,3768,2020-08-14
2020-06-24,4109,2020-08-14
2020-06-25,4154,2020-08-14
2020-06-26,4331,2020-08-14
2020-06-27,3526,2020-08-14
2020-06-28,1598,2020-08-14
2020-06-29,2729,2020-08-14
2020-06-30,3748,2020-08-14
2020-07-01,3648,2020-08-14
2020-07-02,3349,2020-08-14
2020-07-03,3862,2020-08-14
2020-07-04,3518,2020-08-14
2020-07-05,2299,2020-08-14
2020-07-06,3783,2020-08-14
2020-07-07,4035,2020-08-14
2020-07-08,2598,2020-08-14
2020-07-09,2495,2020-08-14
2020-07-10,4913,2020-08-14
2020-07-11,4246,2020-08-14
2020-07-12,2380,2020-08-14
2020-07-13,3114,2020-08-14
2020-07-14,4194,2020-08-14
2020-07-15,4432,2020-08-14
2020-07-16,4535,2020-08-14
2020-07-17,5141,2020-08-14
2020-07-18,5066,2020-08-14
2020-07-19,2228,2020-08-14
2020-07-20,3756,2020-08-14
2020-07-21,4815,2020-08-14
2020-07-22,5972,2020-08-14
2020-07-23,5474,2020-08-14
2020-07-24,5960,2020-08-14
2020-07-25,5626,2020-08-14
2020-07-26,2950,2020-08-14
2020-07-27,7071,2020-08-14
2020-07-28,3017,2020-08-14
2020-07-29,6721,2020-08-14
2020-07-30,7248,2020-08-14
2020-07-31,7601,2020-08-14
2020-08-01,6697,2020-08-14
2020-08-02,3194,2020-08-14
2020-08-03,7818,2020-08-14
2020-08-04,7754,2020-08-14
2020-08-05,7508,2020-08-14
2020-08-06,8442,2020-08-14
2020-08-07,7262,2020-08-14
2020-08-08,6535,2020-08-14
2020-08-09,3329,2020-08-14
2020-08-10,7172,2020-08-14
2020-08-11,7590,2020-08-14
2020-08-12,5069,2020-08-14
2020-03-06,1,2020-08-31
2020-03-07,5,2020-08-31
2020-03-08,2,2020-08-31
2020-03-09,3,2020-08-31
2020-03-10,1,2020-08-31
2020-03-11,8,2020-08-31
2020-03-12,8,2020-08-31
2020-03-13,10,2020-08-31
2020-03-14,19,2020-08-31
2020-03-15,28,2020-08-31
2020-03-16,20,2020-08-31
2020-03-17,27,2020-08-31
2020-03-18,56,2020-08-31
2020-03-19,62,2020-08-31
2020-03-20,56,2020-08-31
2020-03-21,30,2020-08-31
2020-03-22,39,2020-08-31
2020-03-23,33,2020-08-31
2020-03-24,64,2020-08-31
2020-03-25,100,2020-08-31
2020-03-26,52,2020-08-31
2020-03-27,34,2020-08-31
2020-03-28,136,2020-08-31
2020-03-29,142,2020-08-31
2020-03-30,130,2020-08-31
2020-03-31,250,2020-08-31
2020-04-01,117,2020-08-31
2020-04-02,222,2020-08-31
2020-04-03,292,2020-08-31
2020-04-04,833,2020-08-31
2020-04-05,444,2020-08-31
2020-04-06,647,2020-08-31
2020-04-07,1042,2020-08-31
2020-04-08,1083,2020-08-31
2020-04-09,817,2020-08-31
2020-04-10,1038,2020-08-31
2020-04-11,1404,2020-08-31
2020-04-12,738,2020-08-31
2020-04-13,1284,2020-08-31
2020-04-14,1041,2020-08-31
2020-04-15,1383,2020-08-31
2020-04-16,1329,2020-08-31
2020-04-17,1109,2020-08-31
2020-04-18,1407,2020-08-31
2020-04-19,1076,2020-08-31
2020-04-20,2039,2020-08-31
2020-04-21,2171,2020-08-31
2020-04-22,2104,2020-08-31
2020-04-23,2056,2020-08-31
2020-04-24,2239,2020-08-31
2020-04-25,2397,2020-08-31
2020-04-26,1422,2020-08-31
2020-04-27,3400,2020-08-31
2020-04-28,3367,2020-08-31
2020-04-29,4238,2020-08-31
2020-04-30,3372,2020-08-31
2020-05-01,2625,2020-08-31
2020-05-02,3370,2020-08-31
2020-05-03,1922,2020-08-31
2020-05-04,3990,2020-08-31
2020-05-05,3969,2020-08-31
2020-05-06,3634,2020-08-31
2020-05-07,3612,2020-08-31
2020-05-08,3297,2020-08-31
2020-05-09,2469,2020-08-31
2020-05-10,936,2020-08-31
2020-05-11,3601,2020-08-31
2020-05-12,4348,2020-08-31
2020-05-13,4442,2020-08-31
2020-05-14,3739,2020-08-31
2020-05-15,4305,2020-08-31
2020-05-16,4125,2020-08-31
2020-05-17,1785,2020-08-31
2020-05-18,5130,2020-08-31
2020-05-19,5199,2020-08-31
2020-05-20,5291,2020-08-31
2020-05-21,5522,2020-08-31
2020-05-22,6100,2020-08-31
2020-05-23,5401,2020-08-31
2020-05-24,1792,2020-08-31
2020-05-25,6971,2020-08-31
2020-05-26,6920,2020-08-31
2020-05-27,7372,2020-08-31
2020-05-28,6435,2020-08-31
2020-05-29,5747,2020-08-31
2020-05-30,4617,2020-08-31
2020-05-31,2262,2020-08-31
2020-06-01,4247,2020-08-31
2020-06-02,3791,2020-08-31
2020-06-03,2621,2020-08-31
2020-06-04,4066,2020-08-31
2020-06-05,4967,2020-08-31
2020-06-06,4766,2020-08-31
2020-06-07,2640,2020-08-31
2020-06-08,4752,2020-08-31
2020-06-09,5317,2020-08-31
2020-06-10,5743,2020-08-31
2020-06-11,5074,2020-08-31
2020-06-12,4666,2020-08-31
2020-06-13,4501,2020-08-31
2020-06-14,2444,2020-08-31
2020-06-15,4367,2020-08-31
2020-06-16,3383,2020-08-31
2020-06-17,3918,2020-08-31
2020-06-18,3446,2020-08-31
2020-06-19,3465,2020-08-31
2020-06-20,3528,2020-08-31
2020-06-21,1447,2020-08-31
2020-06-22,4337,2020-08-31
2020-06-23,3779,2020-08-31
2020-06-24,4144,2020-08-31
2020-06-25,4160,2020-08-31
2020-06-26,4356,2020-08-31
2020-06-27,3529,2020-08-31
2020-06-28,1599,2020-08-31
2020-06-29,2741,2020-08-31
2020-06-30,3756,2020-08-31
2020-07-01,3663,2020-08-31
2020-07-02,3356,2020-08-31
2020-07-03,3933,2020-08-31
2020-07-04,3529,2020-08-31
2020-07-05,2304,2020-08-31
2020-07-06,3807,2020-08-31
2020-07-07,4058,2020-08-31
2020-07-08,2625,2020-08-31
2020-07-09,2512,2020-08-31
2020-07-10,4968,2020-08-31
2020-07-11,4262,2020-08-31
2020-07-12,2389,2020-08-31
2020-07-13,3153,2020-08-31
2020-07-14,4222,2020-08-31
2020-07-15,4474,2020-08-31
2020-07-16,4586,2020-08-31
2020-07-17,5187,2020-08-31
2020-07-18,5115,2020-08-31
2020-07-19,2244,2020-08-31
2020-07-20,3831,2020-08-31
2020-07-21,4892,2020-08-31
2020-07-22,6014,2020-08-31
2020-07-23,5604,2020-08-31
2020-07-24,6028,2020-08-31
2020-07-25,5705,2020-08-31
2020-07-26,2979,2020-08-31
2020-07-27,7136,2020-08-31
2020-07-28,3051,2020-08-31
2020-07-29,6760,2020-08-31
2020-07-30,7322,2020-08-31
2020-07-31,7750,2020-08-31
2020-08-01,6827,2020-08-31
2020-08-02,3257,2020-08-31
2020-08-03,7961,2020-08-31
2020-08-04,7902,2020-08-31
2020-08-05,7673,2020-08-31
2020-08-06,8756,2020-08-31
2020-08-07,7670,2020-08-31
2020-08-08,6939,2020-08-31
2020-08-09,3553,2020-08-31
2020-08-10,8226,2020-08-31
2020-08-11,9061,2020-08-31
2020-08-12,9326,2020-08-31
